Character/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,Part_P_Base_Heavy,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,Part_P_Base_Light,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,Part_P_Base_Medium,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,Part_P_ClassStat_Heavy_Common,Part_P_Base_Heavy,"Part_P_ClassStat_Barbarian, Part_P_ClassStat_GunMage, Part_P_ClassStat_Knight, Part_P_ClassStat_Necro, Part_P_ClassStat_Ranger, Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,Part_P_ClassStat_Medium_Common,Part_P_Base_Medium,"Part_P_ClassStat_Barbarian, Part_P_ClassStat_GunMage, Part_P_ClassStat_Knight, Part_P_ClassStat_Necro, Part_P_ClassStat_Ranger, Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,Part_P_ClassStat_Light_Common,Part_P_Base_Light,"Part_P_ClassStat_Barbarian, Part_P_ClassStat_GunMage, Part_P_ClassStat_Knight, Part_P_ClassStat_Necro, Part_P_ClassStat_Ranger, Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionCritChance_Heavy_Common,"Part_P_Base_Heavy, Part_P_Base_Secondary_Heavy","Part_P_PlayerStat_CompanionCritChance_Light_Common, Part_P_PlayerStat_CompanionCritChance_Medium_Common, Part_P_PlayerStat_MoveSpeed_Heavy_Common, Part_P_PlayerStat_MoveSpeed_Light_Common, Part_P_PlayerStat_MoveSpeed_Medium_Common, Part_P_PlayerStat_SkillCritChance_Heavy_Common, Part_P_PlayerStat_SkillCritChance_Light_Common, Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionCritChance_Light_Common,"Part_P_Base_Light, Part_P_Base_Secondary_Light","Part_P_PlayerStat_CompanionCritChance_Heavy_Common, Part_P_PlayerStat_CompanionCritChance_Medium_Common, Part_P_PlayerStat_MoveSpeed_Heavy_Common, Part_P_PlayerStat_MoveSpeed_Light_Common, Part_P_PlayerStat_MoveSpeed_Medium_Common, Part_P_PlayerStat_SkillCritChance_Heavy_Common, Part_P_PlayerStat_SkillCritChance_Light_Common, Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionCritChance_Medium_Common,"Part_P_Base_Medium, Part_P_Base_Secondary_Medium","Part_P_PlayerStat_CompanionCritChance_Heavy_Common, Part_P_PlayerStat_CompanionCritChance_Light_Common, Part_P_PlayerStat_MoveSpeed_Heavy_Common, Part_P_PlayerStat_MoveSpeed_Light_Common, Part_P_PlayerStat_MoveSpeed_Medium_Common, Part_P_PlayerStat_SkillCritChance_Heavy_Common, Part_P_PlayerStat_SkillCritChance_Light_Common, Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionDamage_Heavy_Common,"Part_P_Base_Heavy, Part_P_Base_Secondary_Heavy","Part_P_PlayerStat_CompanionDamage_Light_Common, Part_P_PlayerStat_CompanionDamage_Medium_Common, Part_P_PlayerStat_FireRate_Heavy_Common, Part_P_PlayerStat_FireRate_Light_Common, Part_P_PlayerStat_FireRate_Medium_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionDamage_Light_Common,"Part_P_Base_Light, Part_P_Base_Secondary_Light","Part_P_PlayerStat_CompanionDamage_Heavy_Common, Part_P_PlayerStat_CompanionDamage_Medium_Common, Part_P_PlayerStat_FireRate_Heavy_Common, Part_P_PlayerStat_FireRate_Light_Common, Part_P_PlayerStat_FireRate_Medium_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_CompanionDamage_Medium_Common,"Part_P_Base_Medium, Part_P_Base_Secondary_Medium","Part_P_PlayerStat_CompanionDamage_Heavy_Common, Part_P_PlayerStat_CompanionDamage_Light_Common, Part_P_PlayerStat_FireRate_Heavy_Common, Part_P_PlayerStat_FireRate_Light_Common, Part_P_PlayerStat_FireRate_Medium_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_FireRate_Heavy_Common,"Part_P_Base_Heavy, Part_P_Base_Secondary_Heavy","Part_P_PlayerStat_CompanionDamage_Heavy_Common, Part_P_PlayerStat_CompanionDamage_Light_Common, Part_P_PlayerStat_CompanionDamage_Medium_Common, Part_P_PlayerStat_FireRate_Light_Common, Part_P_PlayerStat_FireRate_Medium_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_FireRate_Light_Common,"Part_P_Base_Light, Part_P_Base_Secondary_Light","Part_P_PlayerStat_CompanionDamage_Heavy_Common, Part_P_PlayerStat_CompanionDamage_Light_Common, Part_P_PlayerStat_CompanionDamage_Medium_Common, Part_P_PlayerStat_FireRate_Heavy_Common, Part_P_PlayerStat_FireRate_Medium_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,Part_P_PlayerStat_FireRate_Medium_Common,"Part_P_Base_Medium, Part_P_Base_Secondary_Medium","Part_P_PlayerStat_CompanionDamage_Heavy_Common, Part_P_PlayerStat_CompanionDamage_Light_Common, Part_P_PlayerStat_CompanionDamage_Medium_Common, Part_P_PlayerStat_FireRate_Heavy_Common, Part_P_PlayerStat_FireRate_Light_Common, Part_P_PlayerStat_SplashDamage_Heavy_Common, Part_P_PlayerStat_SplashDamage_Light_Common, Part_P_PlayerStat_SplashDamage_Medium_Common"
