Character/Name,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Heavy,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Light,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,BASE,1,1,0.5,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Medium,,
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Armor/Part_P_ClassStat_Heavy_Common,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Heavy,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Barbarian, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_GunMage, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Knight, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Necro, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Ranger, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Armor/Part_P_ClassStat_Medium_Common,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Medium,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Barbarian, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_GunMage, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Knight, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Necro, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Ranger, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,CLASS,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Armor/Part_P_ClassStat_Light_Common,/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Light,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Barbarian, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_GunMage, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Knight, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Necro, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Ranger, /Game/Gear/Pauldrons/_Shared/_Design/Parts/ClassStat/Part_P_ClassStat_Rogue"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_CompanionCritChance_Heavy_Common,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Heavy, /Game/Gear/Pauldrons/_Shared/_Design/Parts/Base_Secondary/Part_P_Base_Secondary_Heavy","/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_MoveSpeed_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_SkillCritChance_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_CompanionCritChance_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_MoveSpeed_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_SkillCritChance_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_CompanionCritChance_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_MoveSpeed_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_CompanionCritChance_Light_Common,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Light, /Game/Gear/Pauldrons/_Shared/_Design/Parts/Base_Secondary/Part_P_Base_Secondary_Light","/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_CompanionCritChance_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_MoveSpeed_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_SkillCritChance_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_MoveSpeed_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_SkillCritChance_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_CompanionCritChance_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_MoveSpeed_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_CompanionCritChance_Medium_Common,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Medium, /Game/Gear/Pauldrons/_Shared/_Design/Parts/Base_Secondary/Part_P_Base_Secondary_Medium","/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_CompanionCritChance_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_MoveSpeed_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_SkillCritChance_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_CompanionCritChance_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_MoveSpeed_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_SkillCritChance_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_MoveSpeed_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_SkillCritChance_Medium_Common"
All,01/Common,\Game\Gear\Pauldrons\_Shared\_Design\Balance\Balance_Armor_01_Common,PLAYER STAT,1,1,1,/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_CompanionDamage_Heavy_Common,"/Game/Gear/Pauldrons/_Shared/_Design/Parts/Base/Part_P_Base_Heavy, /Game/Gear/Pauldrons/_Shared/_Design/Parts/Base_Secondary/Part_P_Base_Secondary_Heavy","/Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_FireRate_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Heavy/Common/Part_P_PlayerStat_SplashDamage_Heavy_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_CompanionDamage_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_FireRate_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Light/Common/Part_P_PlayerStat_SplashDamage_Light_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_CompanionDamage_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_FireRate_Medium_Common, /Game/Gear/Pauldrons/_Shared/_Design/Parts/PlayerStat/Medium/Common/Part_P_PlayerStat_SplashDamage_Medium_Common"
