Manufacturer/Name,Gun Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY,2,2,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY,2,2,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Bottle,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body_A,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body_B,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BODY ACCESSORY,0,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body_C,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Body/Part_AR_COV_Body,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_01/Part_AR_COV_Barrel_01,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_02/Part_AR_COV_Barrel_02,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_03/Part_AR_COV_Barrel_03,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL,1,1,3,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_04/Part_AR_COV_Barrel_04,,
COV,ARs,01/Common,\Game\Gear\Weapons\AssaultRifles\ChildrenOfTheVault\_Shared\_Design\BalanceState\Balance_AR_COV_01_Common,BARREL 2,0,1,1,/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_01/Part_AR_COV_Barrel_01_A,,"/Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_02/Part_AR_COV_Barrel_02, /Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_03/Part_AR_COV_Barrel_03, /Game/Gear/Weapons/AssaultRifles/ChildrenOfTheVault/_Shared/_Design/Parts/Barrel/Barrel_04/Part_AR_COV_Barrel_04"
