Name,Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Parts/Part_M_Axe_Blade_BodySpray,,
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,BLADE,3,3,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Axe_Blade_02_A,,"/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Axe_Blade_01, /Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_03/Part_M_Axe_Blade_03"
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,BLADE,3,3,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Axe_Blade_01_B,,"/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Axe_Blade_02, /Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_03/Part_M_Axe_Blade_03"
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,HILT,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt/Part_M_Axe_Hilt_02,,
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,HILT MOD,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Mission/Part_M_Axe_HiltMod_05_Mission,,
BodySpray,,Named Melee Weapon,/Game/Gear/Melee/Axes/_Shared/_Design/_Unique/BodySpray/Balance/Balance_M_Axe_BodySpray,RARITY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Rarity/Part_M_Axe_03_Rare,,
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,BODY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Parts/Part_M_Sword_Blade_GoblinsBane,,
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,ELEMENT,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Fire,,
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,BLADE,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Sword_Blade_01_B,,"/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Sword_Blade_02, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_03/Part_M_Sword_Blade_03"
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,HILT,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt/Part_M_Sword_Hilt_01,,
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,HILT MOD,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Mission/Part_M_Sword_HiltMod_07_Mission,,"/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Override/Part_M_Sword_HiltMod_07_Override, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_01, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_02, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_03, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_04, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_05, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_06, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Part_M_Sword_HiltMod_08"
GoblinsBane,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/GoblinsBane/Balance/Balance_M_Sword_GoblinsBane,RARITY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Rarity/Part_M_Sword_03_Rare,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission,BODY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Sword_Blade_01,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission,HILT,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt/Part_M_Sword_Hilt_01,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission,HILT MOD,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Common/Part_M_Sword_HiltMod_C_01,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission,RARITY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Rarity/Part_M_Sword_01_Common,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission_SkellySword,BODY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Parts/Part_M_Sword_Intro_SkellySword,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission_SkellySword,BLADE,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Sword_Blade_02_B,"/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Cryo, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Dark, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Fire, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Poison, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Element/Part_M_Sword_Ele_Shock","/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Sword_Blade_01, /Game/Gear/Melee/Swords/_Shared/_Design/Parts/Blade/Blade_03/Part_M_Sword_Blade_03"
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission_SkellySword,HILT,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt/Part_M_Sword_Hilt_01,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission_SkellySword,HILT MOD,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Common/Part_M_Sword_HiltMod_C_08,,
IntroMission,,Named Melee Weapon,/Game/Gear/Melee/Swords/_Shared/_Design/_Unique/IntroMission/Balance/Balance_M_Sword_IntroMission_SkellySword,RARITY,1,1,1,/Game/Gear/Melee/Swords/_Shared/_Design/Parts/Rarity/Part_M_Sword_02_UnCommon,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Axe_Blade_01,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Axe_Blade_02,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_03/Part_M_Axe_Blade_03,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,ELEMENT,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Element/Part_Axe_Ele_None,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt/Part_M_Axe_Hilt_01,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt/Part_M_Axe_Hilt_02,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt/Part_M_Axe_Hilt_03,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT MOD,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Common/Part_M_Axe_HiltMod_C_01,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT MOD,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Common/Part_M_Axe_HiltMod_C_02,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,HILT MOD,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Hilt_Mod/Hilt_Mod_Common/Part_M_Axe_HiltMod_C_03,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,RARITY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Rarity/Part_M_Axe_01_Common,,
Melee,Axe,01/Common,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_01_Common,MATERIAL,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Material/Part_Axe_Material_01_Common,,
Melee,Axe,02/Uncommon,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_02_Uncommon,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_01/Part_M_Axe_Blade_01,,
Melee,Axe,02/Uncommon,\Game\Gear\Melee\_Shared\_Design\Balance\Balance_M_Axe_02_Uncommon,BODY,1,1,1,/Game/Gear/Melee/Axes/_Shared/_Design/Parts/Blade/Blade_02/Part_M_Axe_Blade_02,,
