Name,Type,Rarity,Balance,Category,Min Parts,Max Parts,Weight,Part,Dependencies,Excluders
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,RARITY,1,1,1,/Game/Gear/Rings/_Shared/Design/Parts/Rarity/Part_Ring_01_Common,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MAJOR,1,1,1,/Game/Gear/Rings/_Shared/Design/Parts/Major/Part_Ring_Major_None,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.03125,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.010417,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_Health,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.010417,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_Health,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.010417,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Companion_Health,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_DarkMagicMaxLeech,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_DarkMagicMaxLeech,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_DarkMagicMaxLeech,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.083333,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Melee_CritDamage,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Cooldown,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Cooldown,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Cooldown,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Duration,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Duration,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_Duration,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_CritChance,,
,Ring,01/Common,\Game\Gear\Rings\_Shared\Design\BalanceD\Balance_Rings_01_Common,MINOR,1,1,0.041667,/Game/Gear/Rings/_Shared/Design/Parts/Minor/Part_Ring_Minor_Skill_CritChance,,
